█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█,█
█,░,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,░,█
█,█,█,█,█,█,█,●,█,●,●,█,█,█,█,█,█,█,█,●,█,█,█,●,█,●,█,█,█,●,█,●,█,█,█,●,█,█,█,●,█
█,●,●,●,█,●,●,●,█,●,●,●,●,●,█,●,●,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,█,●,●,●,●,●,█,●,█
█,█,█,█,█,●,█,█,█,█,●,●,█,█,█,●,█,█,█,█,█,█,█,█,█,█,█,█,█,●,█,●,█,█,█,█,█,█,█,●,█
█,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,█,●,█,●,█,●,█,●,●,●,█,●,█,●,●,●,█
█,●,█,█,█,●,█,█,█,●,●,█,█,█,█,█,█,█,█,●,█,█,█,█,█,█,█,●,█,●,█,●,█,█,█,█,█,█,█,█,█
█,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,█
█,█,█,█,█,█,█,█,█,●,●,█,█,█,█,█,█,●,█,█,█,█,█,█,█,█,█,●,█,█,█,●,█,●,█,█,█,█,█,█,█
█,●,●,●,█,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,█,●,●,●,●,●,●,●,█
█,█,█,█,█,█,█,█,█,█,●,█,█,█,█,●,█,█,█,█,█,●,█,█,█,█,█,█,█,█,█,●,█,█,█,█,█,●,█,█,█
█,●,●,●,●,●,●,●,█,●,●,●,█,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█
█,█,█,●,█,█,█,●,█,█,●,█,█,█,█,●,█,█,█,●,█,█,█,●,█,█,█,●,█,●,█,●,█,●,█,█,█,█,█,●,█
█,●,●,●,●,●,●,●,●,●,●,●,●,●,█,●,●,●,█,●,●,●,●,●,█,●,█,●,●,●,●,●,●,●,●,●,●,●,█,●,█
█,█,█,█,█,█,█,█,█,●,●,●,█,█,█,●,█,●,█,█,█,█,█,█,█,█,█,●,█,█,█,●,█,█,█,█,█,█,█,█,█
█,●,●,●,●,●,█,●,●,●,●,●,█,●,█,●,●,●,●,●,█,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,█
█,●,█,●,█,█,█,█,█,█,●,█,█,●,█,█,░,░,░,░,░,░,░,░,█,█,█,█,█,●,█,●,█,●,█,█,█,●,█,●,█
█,●,●,●,●,●,●,●,█,●,●,●,●,●,●,●,░,░,░,░,░,░,░,░,●,●,█,●,●,●,●,●,●,●,●,●,●,●,█,●,█
█,█,█,█,█,█,█,█,█,█,●,█,█,●,█,●,░,░,░,░,░,░,░,░,█,●,█,●,█,█,█,●,█,●,█,█,█,█,█,█,█
